"Type","Ven Nbr","Vendor Address                               ","Remit to                                     ","Contact Info                                 ","Terms","Last PO","Last Payment"
"","","HILLARD, OH 43026                            ","                                             ","Fax: 614 850 2552                            ","","","1,024.25"
"","1439","TP SERVICES                                  ","SAME                                         ","                                             ","Net 30","","Ck #1439"
"","","1555 S. LAKEVIEW DR.                         ","                                             ","                                             ","","","5/7/12"
"","","WEST DES MOINES, IA 50266                    ","                                             ","                                             ","","","524.70"
"","1440","JAMES ALBERT FOUNDATION                      ","SAME                                         ","                                             ","Net 30","","Ck #7586"
"","","1                                            ","                                             ","                                             ","","","11/19/10"
"","","DES MOINES, IA 50321                         ","                                             ","                                             ","","","1,250.00"
"","1441","DALLAS COUNTY SHERIFF'S OFFICE               ","SAME                                         ","                                             ","Net 30","","Ck #9327"
"","","PO BOX 187                                   ","                                             ","                                             ","","","3/29/12"
"","","ADEL, IA 50003-0187                          ","                                             ","                                             ","","","75.00"
"","1445","STATE BANK                                   ","SAME                                         ","                                             ","Net 30","","Ck #7664"
"","","ATTN: LINDA                                  ","                                             ","                                             ","","","12/9/10"
"","","728 GRAND AVE.                               ","                                             ","                                             ","","","1,028.27"
"","","SPENCER, IA 51301                            ","                                             ","                                             ","","",""
"","1446","CORELL CONTRACTOR INC.                       ","SAME                                         ","GEORGE JENSEN                                ","Net 30","5764","Ck #1446"
"","","1300 LINCOLN ST                              ","                                             ","Ph : 515 221 9669                            ","","1/28/11","3/2/11"
"","","PO BOX 65430                                 ","                                             ","Fax: 515 221 9778                            ","","","227.50"
"","","WEST DES MOINES, IA 50265                    ","                                             ","                                             ","","",""
"","1447","METAL DESIGN SYSTEMS                         ","METAL DESIGN SYSTEMS                         ","sales@crmdsi.com                             ","Net 30","10043","Ck #1447"
"","","4150 C ST. SW                                ","PO BOX 1165                                  ","Ph : 319-362-7454                            ","","2/17/14","2/24/14"
"","","PO BOX 1165                                  ","PO BOX 1165                                  ","Fax: 319-362-7456                            ","","","771.00"
"","","CEDAR RAPIDS, IA 52406                       ","CEDAR RAPIDS, IA 52406                       ","                                             ","","",""
"","1448","ME&V CEDAR FALLS                             ","SAME                                         ","                                             ","Net 30","","Ck #1448"
"","","HEADQUARTERS                                 ","                                             ","                                             ","","","4/22/11"
"","","6711 CHANCELLOR DR.                          ","                                             ","                                             ","","","3,940.00"
"","","CEDAR FALLS, IA 50613                        ","                                             ","                                             ","","",""
"","1449","VANNGUARD UTILITY PARTNERS, INC.             ","SAME                                         ","                                             ","Net 30","5603","Ck #1449"
"","","5927 HAASE ROAD                              ","                                             ","                                             ","","12/16/10","12/27/10"
"","","DEFROST, WI 53532                            ","                                             ","                                             ","","","100.00"
"","1451","CORPORATE SIGNS                              ","SAME                                         ","Ph : 800-218-9984                            ","Net 30","8802","Ck #1451"
"","","STATE LICENSED SIGN CONTRACTORS              ","                                             ","Fax: 305-513-4288                            ","","5/21/13","12/3/13"
"","","5960 NW 99TH AVE. - BAY 8                    ","                                             ","                                             ","","","5,632.00"
"","","DORAL, FL 33178                              ","                                             ","                                             ","","",""
"","1452","LAIRD PLASTICS                               ","SAME                                         ","Ph : 816-452-7771                            ","Net 30","6498","Ck #1452"
"","","3901 NE 33RD TERRACE                         ","                                             ","Fax: 816-452-7772                            ","","8/15/11","8/23/11"
"","","SUITE C                                      ","                                             ","                                             ","","","729.50"
"","","KANSAS CITY, MO 64117                        ","                                             ","                                             ","","",""
"","1453","CENTURYLINK                                  ","SAME                                         ","                                             ","Net 30","","Ck #1453"
"","","PO BOX 2956                                  ","                                             ","                                             ","","","5/1/23"
"","","PHOENIX, AZ 85062-2956                       ","                                             ","                                             ","","","108.98"
"","1454","CITY OF NEBRASKA CITY                        ","SAME                                         ","Ph : 4028735515                              ","Net 30","","Ck #7812"
"","","1409 CENTRAL AVENUE                          ","                                             ","Fax: 4028735685                              ","","","1/26/11"
"","","NEBRASKA CITY, NE 68410                      ","                                             ","                                             ","","","35.00"
"","1455","BAKER ELECTRIC INC                           ","SAME                                         ","LEE ROSE                                     ","Net 30","21768","Ck #1455"
"","","111 S W JACKSON                              ","                                             ","lrose@bakerelectric.com                      ","","12/13/22","2/1/23"
"","","DES MOINES, IA 50315                         ","                                             ","Ph : 515 288 6774                            ","","","615.56"
"","","                                             ","                                             ","Fax: 515 288 2226                            ","","",""
"","1456","BNI                                          ","SAME                                         ","                                             ","Net 30","","Ck #10722"
"","","13420 CEDARWOOD AVE.                         ","                                             ","                                             ","","","5/4/13"
"","","CLIVE, IA 50325                              ","                                             ","                                             ","","","365.00"
"","1458","AAA SIGN COMPANY, INC                        ","SAME                                         ","RAY PETERS                                   ","Net 30","23582","Ck #1458"
"","","2015 WESTSIDE DRIVE                          ","                                             ","rayp@aaasignco.com                           ","","4/11/24","5/17/24"
"","","AUGUSTA, GA 30917                            ","                                             ","Ph : 706 860 6890                            ","","","2,275.00"
"","","                                             ","                                             ","Fax: 706 860 6894                            ","","",""
"","1459","CLEVELAND PUNCH & DIE COMPANY                ","SAME                                         ","Ph : 800-451-4342                            ","Net 30","6405","Ck #1459"
"","","666 PRATT STREET                             ","                                             ","Fax: 800-451-6877                            ","","7/19/11","8/8/11"
"","","P.O. BOX 769                                 ","                                             ","                                             ","","","260.64"
"","","RAVENNA, OH 44266                            ","                                             ","                                             ","","",""
"","1461","CEDAR VALLEY ELECTROPLATING                  ","SAME                                         ","Ph : 319-277-7712                            ","Net 30","5840","Ck #1461"
"","","5611 WESTMINISTER DR                         ","                                             ","Fax: 319-277-7258                            ","","2/21/11","2/24/11"
"","","CEDAR FALLS, IA 50613                        ","                                             ","                                             ","","","125.00"
"","1462","VAN METER INDUSTRIAL                         ","SAME                                         ","NICK BELLINGHAUSEN                           ","Net 30","5910","Ck #1462"
"","","125 COURIER ST.                              ","                                             ","efritz@vanmeterinc.com                       ","","6/8/16","4/4/11"
"","","WATERLOO, IA 50701                           ","                                             ","Ph : 319-235-9313                            ","","","98.64"
"","1463","N. GLANTZ & SON                              ","N. GLANTZ & SON LLC                          ","jnelson@nglantz.com                          ","Net 30","25237","Ck #1463"
"","","1921 FOXRIDGE DRIVE                          ","PO BOX 639481                                ","Ph : 913-909-8366                            ","","7/9/25","7/11/25"
"","","KANSAS CITY, MO 66106                        ","CINCINNATI, OH 45263-9481                    ","Fax: kccsr@nglantz.com.                      ","","","165.06"
"","1464","CITY OF WINTERSET                            ","SAME                                         ","                                             ","Net 30","","Ck #20147"
"","","124 WEST COURT AVE.                          ","                                             ","                                             ","","","1/2/20"
"","","WINTERSET, IA 50273                          ","                                             ","                                             ","","","37.00"
"","1466","INTERLECTRIC CORP                            ","SAME                                         ","DAN OLSON                                    ","Net 30","7774","Ck #1466"
"","","1401 LEXINGTON AVE.                          ","                                             ","dan.olson@interlectric.com                   ","","8/16/12","9/6/12"
"","","WARREN, PA 16365                             ","                                             ","Ph : 800-722-2184                            ","","","58.20"
"","","                                             ","                                             ","Fax: 814-723-6069                            ","","",""
"","1467","PLANET FITNESS                               ","SAME                                         ","ALEX MORTENSON                               ","Net 30","","Ck #7977"
"","","3221 SE 14TH ST.                             ","                                             ","                                             ","","","3/14/11"
"","","SUITE 130                                    ","                                             ","                                             ","","","458.75"
"","","DES MOINES, IA 50320                         ","                                             ","                                             ","","",""
"","1468","PATTISON SIGN GROUP INC.                     ","SAME                                         ","                                             ","Net 30","7073","Ck #1468"
"","","410 N CEDAR BLUFF RD.                        ","                                             ","                                             ","","6/27/14","3/6/12"
"","","SUITE 101                                    ","                                             ","                                             ","","","878.28"
"","","KNOXVILLE, TN 37923                          ","                                             ","                                             ","","",""
"","1469","JOSH IMLER                                   ","SAME                                         ","                                             ","Net 30","","Ck #8242"
"","","208 VALLEY VIEW DR.                          ","                                             ","                                             ","","","5/27/11"
"","","KNOXVILLE, IA 50138                          ","                                             ","                                             ","","","200.00"
"","1470","ELLIS & ELLIS SIGN SYSTEMS                   ","SAME                                         ","ROB STARK                                    ","Net 30","6364","Ck #1470"
"","","1111 JOELLIS WAY                             ","                                             ","Ph : 916 924 1936                            ","","7/7/11","9/27/11"
"","","SACRAMENTO, CA 95816                         ","                                             ","Fax: 916 924 3133                            ","","","2,100.47"
"","1471","WISCONSIN SIGN ASSOCIATION, INC.             ","SAME                                         ","awise@wamllc.net                             ","Net 30","",""
"","","11801 W SILVER SPRING DR. SUITE 200          ","                                             ","Ph : 414-271-9277                            ","","",""
"","","MILWAUKEE, WI 53225                          ","                                             ","Fax: 414-464-0850                            ","","",""
"","1474","SUBSTANCE ARCHITECTURE                       ","SAME                                         ","                                             ","Net 30","","Ck #8165"
"","","1300 WALNUT ST.                              ","                                             ","                                             ","","","5/4/11"
"","","SUITE 101                                    ","                                             ","                                             ","","","150.00"
"","","DES MOINES, IA 50309                         ","                                             ","                                             ","","",""
"","1475","FAIRBANKS SCALES                             ","SAME                                         ","Ph : 816-455-7337                            ","Net 30","11111","Ck #1475"
"","","P.O. BOX 802796                              ","                                             ","                                             ","","10/14/14","10/14/14"
"","","KANSAS CITY, MO 64180-2796                   ","                                             ","                                             ","","","825.00"
"","1476","CITY SIGNS                                   ","SAME                                         ","GREG KYLER                                   ","Net 30","6147","Ck #1476"
"","","1101 DOKER DRIVE                             ","                                             ","INFO@CITYSIGNSMODESTO.COM                    ","","5/12/11","7/6/11"
"","","SUITE D                                      ","                                             ","Ph : 209 549 2412                            ","","","3,180.73"
"","","MODESTO, CA 95351                            ","                                             ","Fax: 209 549 2419                            ","","",""
"","1477","DAVE MOURER                                  ","SAME                                         ","DAVE MOURER                                  ","Net 30","6158","Ck #1477"
"","","1211 E. MAIN                                 ","                                             ","Ph : 217 504 1290                            ","","5/16/11","6/7/11"
"","","DANVILLE, IL 61832                           ","                                             ","Fax: 217 442 1020                            ","","","175.00"
"","1478","CROSS DILLION TIRES                          ","SAME                                         ","BILL FISHER                                  ","Net 30","",""
"","","5185 NE 22ND                                 ","                                             ","Ph : 515 265 6200                            ","","",""
"","","DES MOINES, IA 50313                         ","                                             ","                                             ","","",""
"","1479","JAYCO SIGN CO                                ","SAME                                         ","GREG YODER                                   ","Net 30","8473","Ck #1479"
"","","149-151 ATLANTIC DR                          ","                                             ","GREG_JAYCOSIGNS@YAHOO.COM                    ","","2/27/13","5/13/13"
"","","MAITLAND, FL 32751                           ","                                             ","Ph : 407 339 5252                            ","","","1,027.44"
"","","                                             ","                                             ","Fax: 407 948 5546                            ","","",""
"","1480","CITY OF MASON CITY                           ","SAME                                         ","                                             ","Net 30","","Ck #26842"
"","","ATTN: LYNN - BUILDING INSPECTIONS            ","                                             ","                                             ","","","7/18/25"
"","","10 1ST ST. NW                                ","                                             ","                                             ","","","172.05"
"","","MASON CITY, IA 50401                         ","                                             ","                                             ","","",""
"","1481","JERRY SIGNS                                  ","SAME                                         ","JESSICA                                      ","Net 30","6266","Ck #1481"
"","","15775 PORTVILLE HWY                          ","                                             ","JESSICA.JERRYSSIGNS@GMAIL.COM                ","","6/14/11","7/15/11"
"","","ABINGDON, VA 24210                           ","                                             ","Ph : 276 676 2304                            ","","","675.00"
"","","                                             ","                                             ","Fax: 276 676 4511                            ","","",""
"","1482","SIGN DESIGNS EMPLOYEE BENEFIT FUND           ","SAME                                         ","                                             ","Net 30","","Ck #8318"
"","","SOUTHWEST MISSOURI BANK                      ","                                             ","                                             ","","","6/14/11"
"","","4000 E. 7TH ST.                              ","                                             ","                                             ","","","400.00"
"","","JOPLIN, MO 64801                             ","                                             ","                                             ","","",""
"","1483","CITY OF WATERLOO                             ","SAME                                         ","                                             ","Net 30","","Ck #11388"
"","","BUILDING INSPECTIONS DEPARTMENT              ","                                             ","                                             ","","","10/8/13"
"","","715 MULBERRY ST.                             ","                                             ","                                             ","","","57.50"
"","","WATERLOO, IA 50703                           ","                                             ","                                             ","","",""
"","1486","DUFFER SIGN CO                               ","SAME                                         ","DOT DUFFER                                   ","Net 30","6294","Ck #1486"
"","","64 SHRIVER MINE RD                           ","                                             ","DOT@DUFFERSIGN.COM                           ","","6/20/11","5/2/12"
"","","MORGANTOWN, WV 26501                         ","                                             ","Ph : 304 599 7446                            ","","","628.33"
"","","                                             ","                                             ","Fax: 304 599 3687                            ","","",""
"","1487","OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST,","SAME                                         ","                                             ","Net 30","","Ck #1487"
"","","PO BOX 75427                                 ","                                             ","                                             ","","","6/22/11"
"","","OKLAHOMA CITY, OK 73147-0427                 ","                                             ","                                             ","","","70.50"
"","1488","SKYLINE PUBLISHING                           ","SAME                                         ","                                             ","Net 30","","Ck #1488"
"","","PO BOX 9014                                  ","                                             ","                                             ","","","6/27/11"
"","","PEORIA, IL 61612                             ","                                             ","                                             ","","","200.00"
"","1490","STAR EQUIPMENT                               ","SAME                                         ","ROGER BACON                                  ","Net 30","9768","Ck #1490"
"","","1401 2ND AVENUE                              ","                                             ","rogerbacon@starequip.com                     ","","12/4/15","12/30/13"
"","","DES MOINES, IA 50314                         ","                                             ","Ph : 800 369 2215                            ","","","1,489.59"
"","","                                             ","                                             ","Fax: 515 283 0295                            ","","",""
"","1491","ARK'S ELECTRIC                               ","SAME                                         ","AARON R KINDEL                               ","Net 30","6357","Ck #1491"
"","","20635 W STANTON ROAD                         ","                                             ","Ph : 616 636 8289                            ","","7/6/11","8/8/11"
"","","PO BOX 108                                   ","                                             ","Fax: 616 636 5171                            ","","","280.00"
"","","PIERSON, MI 49339                            ","                                             ","                                             ","","",""
"","1492","PORTLAND BOLT & MANUFACTURING COMPANY        ","PORTLAND BOLT & MANUFACTURING                ","nate@portlandbolt.com                        ","Net 30","25184","Ck #1492"
"","","3441 NW GUAM ST.                             ","3441 NW GUAM ST                              ","Ph : 503-227-5488                            ","","6/24/25","10/25/22"
"","","PORTLAND, OR 97210                           ","PORTLAND, OR 97210                           ","Fax: 503 227 4634                            ","","","788.65"
"","1493","VALMONT COATINGS                             ","SAME                                         ","KELLY EXT 23                                 ","Net 30","23607","Ck #1493"
"","","2301 BRIDGEPORT DR.                          ","                                             ","bpaulsen@valmont.com                         ","","4/23/24","5/8/24"
"","","SIOUX CITY, IA 51111                         ","                                             ","Ph : 712-252-4101                            ","","","556.99"
"","","                                             ","                                             ","Fax: 712-252-2792                            ","","",""
"","1494","DOUGLAS SIGN CO                              ","SAME                                         ","NIKKI                                        ","Net 30","",""
"","","1800 SO CEDAR                                ","                                             ","Ph : 517 482 2090                            ","","",""
"","","LANSING, MI 48910                            ","                                             ","Fax: 517 482 2138                            ","","",""
"","1495","4D SIGN WORX                                 ","SAME                                         ","JASON                                        ","Net 30","6387","Ck #1495"
"","","2022 PECH RD.                                ","                                             ","Ph : 713 984 2010                            ","","7/13/11","8/11/11"
"","","HOUSTON, TX 77055                            ","                                             ","Fax: 713 984 8064                            ","","","378.88"
"","1496","WRISCO INDUSTRIES INC.                       ","SAME                                         ","Ph : 800-627-8036                            ","Net 30","21342","Ck #1496"
"","","18700 RIDGELAND, SUITE 200                   ","                                             ","Fax: 708-385-7002                            ","","8/22/22","9/6/22"
"","","TINLEY PARK, IL 60477                        ","                                             ","                                             ","","","3,113.11"
"","1497","INTUIT                                       ","SAME                                         ","                                             ","Net 30","","Ck #730"
"","","2632 MARINE WAY                              ","                                             ","                                             ","","","12/8/23"
"","","MOUNTAIN VIEW, CA 94043                      ","                                             ","                                             ","","","282.50"
"","1499","HAWKEYE SIGN & LIGHTING                      ","SAME                                         ","MIKE MCNEAL                                  ","Net 30","7054","Ck #1499"
"","","1109 ORCHARD LANE                            ","                                             ","Ph : 515 321 4442                            ","","12/20/11","1/24/12"
"","","DES MOINES, IA 50313                         ","                                             ","Fax: 515 288 4946                            ","","","1,200.00"
"","1501","CITY OF DALLAS CENTER                        ","SAME                                         ","                                             ","Net 30","","Ck #20623"
"","","1502 WALNUT STREET                           ","                                             ","                                             ","","","5/19/20"
"","","PO BOX 396                                   ","                                             ","                                             ","","","75.00"
"","","DALLAS CENTER, IA 50063                      ","                                             ","                                             ","","",""
"","1502","AMERICAN PATTERN & CNC WORKS INC             ","SAME                                         ","JESSIE LOONAN                                ","Net 30","13023","Ck #1502"
"","","5540 WESTMINSTER DRIVE                       ","                                             ","jesse@americanpattern.com                    ","","2/10/16","3/8/16"
"","","CEDAR FALLS, IA 50613                        ","                                             ","Ph : 319-268-2233                            ","","","541.66"
"","","                                             ","                                             ","Fax: 319-268-2234                            ","","",""
"","1503","WSA DIVISION 6                               ","SAME                                         ","TIM CULLEN                                   ","Net 30","","Ck #1503"
"","","TLC SIGN                                     ","                                             ","Ph : 920-538-1901                            ","","","12/23/19"
"","","990 JAMESON STREET                           ","                                             ","                                             ","","","400.00"
"","","NEENAH, WI 54956                             ","                                             ","                                             ","","",""
"","1504","VALLEY CITY SIGN                             ","SAME                                         ","LISA GROOT                                   ","Net 30","6497","Ck #1504"
"","","5009 WEST RIVER DR                           ","                                             ","Ph : 616 784 5711                            ","","8/15/11","10/3/11"
"","","COMSTOCK PARK, MI 49321                      ","                                             ","Fax: 616 784 8280                            ","","","1,397.34"
"","1505","RON FULLER                                   ","SAME                                         ","                                             ","Net 30","","Ck #16409"
"","","1618 E CRESTON AVE                           ","                                             ","                                             ","","","2/14/17"
"","","DES MOINES, IA 50320                         ","                                             ","                                             ","","","400.00"
"","1506","CHEMCO                                       ","SAME                                         ","GARY WEXLER                                  ","Net 30","8096","Ck #1506"
"","","515 HUEHL RD.                                ","                                             ","Ph : 800-323-0431                            ","","11/6/12","11/19/12"
"","","NORTHBROOK, IL 60062-2336                    ","                                             ","Fax: 800-336-7706                            ","","","83.04"
"","1507","CRANE SALES & SERVICE                        ","CRANE SALES & SERVICE                        ","CHUCK NIELSEN                                ","Net 30","6562","Ck #1507"
"","","5910 S 27TH ST.                              ","PO BOX 3365                                  ","cnielsen@cranesalesandservice.com            ","","1/12/18","3/20/14"
"","","OMAHA, NE 68107                              ","OMAHA, NE 68103-0365                         ","                                             ","","","283.82"
"","1508","WELLNESS SERVICES                            ","SAME                                         ","MERRIAM LAKE                                 ","Net 30","","Ck #1508"
"","","ATTN: MERRIAM LAKE                           ","                                             ","                                             ","","","6/1/15"
"","","2101 KIMBALL AVENUE SUITE 135                ","                                             ","                                             ","","","1,664.16"
"","","WATERLOO, IA 50702                           ","                                             ","                                             ","","",""
"","1509","SUPERIOR SIGN & LIGHTING                     ","SAME                                         ","ALEX DE MORAL                                ","Net 30","19706","Ck #1509"
"","","11445 CEDAR OAK DR                           ","                                             ","Ph : 915 629 9100                            ","","4/12/21","9/20/11"
"","","EL PASO, TX 79936                            ","                                             ","Fax: 915 629 9105                            ","","","1,028.38"
"","1510","CENTRAL IOWA FENCING                         ","SAME                                         ","MARK                                         ","Net 30","6643","Ck #1510"
"","","314 EAST 2ND STREET                          ","                                             ","MDUNAHOO42@LIVE.COM                          ","","9/20/11","10/3/11"
"","","AMES, IA 50010                               ","                                             ","Ph : 515 724 2039                            ","","","450.00"
"","1511","ABC ENTERPRISES LLC                          ","SAME                                         ","                                             ","Net 30","6916","Ck #1511"
"","","3233 HIGHWAY 65 69                           ","                                             ","                                             ","","12/7/11","12/11/11"
"","","CARLISLE, IA 50047-3112                      ","                                             ","                                             ","","","277.76"
"","1512","SIGN-LITE SLS SERVICES LLC                   ","SAME                                         ","MICHAEL BIZJAK                               ","Net 30","7041","Ck #1512"
"","","12655 COIT ROAD                              ","                                             ","Ph : 216 851 1000                            ","","1/12/12","3/1/12"
"","","CLEVELAND, OH 44108                          ","                                             ","Fax: 216 851 1166                            ","","","2,100.00"
"","1513","ESTES                                        ","SAME                                         ","                                             ","Net 30","","Ck #8750"
"","","PO BOX 25612                                 ","                                             ","                                             ","","","10/18/11"
"","","RICHMOND, VA 23260                           ","                                             ","                                             ","","","201.00"
"","1514","O'NEAL STEEL                                 ","O'NEAL STEEL                                 ","ALLISON BEAL                                 ","Net 30","25275","Ck #1514"
"","","P.O. BOX 2486                                ","PO BOX 934243                                ","Abeal@onealsteel.com                         ","","7/17/25","6/6/25"
"","","WATERLOO, IA 50704                           ","ATLANTA, GA 31193-4243                       ","                                             ","","","5,173.98"
"","1515","FARMERS STATE BANK                           ","SAME                                         ","                                             ","Net 30","","Ck #286"
"","","1710 W 1ST ST STE A                          ","                                             ","                                             ","","","6/1/15"
"","","CEDAR FALLS, IA 50613                        ","                                             ","                                             ","","","5,443.72"
"","1516","CITY OF MOLINE                               ","SAME                                         ","                                             ","Net 30","","Ck #8794"
"","","BUILDING DIVISION                            ","                                             ","                                             ","","","10/27/11"
"","","3635 4TH AVE.                                ","                                             ","                                             ","","","227.00"
"","","MOLINE, IL 61265                             ","                                             ","                                             ","","",""
"","1517","DAVIS SIGNS & NEON                           ","SAME                                         ","GARY DAVIS                                   ","Net 30","6779","Ck #1517"
"","","3514 MCNIEL                                  ","                                             ","Ph : 940 692 4643                            ","","11/7/11","11/16/11"
"","","WICHITA FALLS, TX 76308                      ","                                             ","Fax: 940 692 7609                            ","","","130.00"
"","1518","MEDICAP PHARMACY #230                        ","SAME                                         ","                                             ","Net 30","","Ck #1518"
"","","2521 SUNSET DR.                              ","                                             ","                                             ","","","11/8/11"
"","","NORWALK, IA 50211                            ","                                             ","                                             ","","","324.00"
"","1519","CITY OF CARLISLE                             ","SAME                                         ","                                             ","Net 30","","Ck #22648"
"","","195 N. 1ST ST.                               ","                                             ","                                             ","","","1/27/22"
"","","PO BOX 430                                   ","                                             ","                                             ","","","75.00"
"","","CARLISLE, IA 50047                           ","                                             ","                                             ","","",""
"","1520","GRANGER CITY HALL                            ","SAME                                         ","                                             ","Net 30","","Ck #12166"
"","","1906 MAIN ST.                                ","                                             ","                                             ","","8/22/13","4/15/14"
"","","PO BOX 333                                   ","                                             ","                                             ","","","75.00"
"","","GRANGER, IA 50109-0333                       ","                                             ","                                             ","","",""
"","1521","CENTRAL STEEL SERVICE INC.                   ","SAME                                         ","JAY GUYTON                                   ","1/2% / 10 DAYS N 30","24855","Ck #1521"
"","","2764 WELBORN STREET                          ","                                             ","jguyton@centralsteelservice.com              ","","3/24/25","4/17/25"
"","","P O BOX 1506                                 ","                                             ","Ph : 205-664-2950                            ","","","12,836.50"
"","","PELHAM, AL 35124                             ","                                             ","Fax: 205-663-3391                            ","","",""
"","1522","CITY OF POLK CITY                            ","SAME                                         ","                                             ","Net 30","","Ck #18398"
"","","112 THIRD ST                                 ","                                             ","                                             ","","","8/2/18"
"","","P O BOX 426                                  ","                                             ","                                             ","","","50.00"
"","","POLK CITY, IA 50226                          ","                                             ","                                             ","","",""
"","1523","MANUEL MASONRY,INC                           ","SAME                                         ","MIKE                                         ","Net 30","6931","Ck #1523"
"","","4835 N W 53RD CT                             ","                                             ","Ph : 515 270 8015                            ","","12/9/11","3/9/12"
"","","DES MOINES, IA 50310                         ","                                             ","Fax: 515 270 8052                            ","","","11,825.00"
"","1524","METALWORKS PLUS, LLC                         ","SAME                                         ","jim@metalworksplus.com                       ","Net 30","6945","Ck #1524"
"","","PO BOX 75005                                 ","                                             ","                                             ","","12/14/11","1/13/12"
"","","FT. THOMAS, KY 41075-0005                    ","                                             ","                                             ","","","2,725.21"
"","1525","IMAGINIT TECHNOLOGIES                        ","RAND WORLDWIDE IMAGINIT                      ","jszmania@rand.com                            ","Net 30","8279","Ck #1525"
"","","RAND WORLDWIDE                               ","P O BOX 17687                                ","Ph : 888-303-3350 x3114                      ","","1/2/13","3/23/13"
"","","P O BOX 17687                                ","P O BOX 17687                                ","Fax: 847-890-6469                            ","","","2,120.70"
"","","BALTIMORE, MD 21297-1687                     ","BALTIMORE, MD 21297-1687                     ","                                             ","","",""
"","1527","MAHONING LIGHTING & MAINTENANCE CO. INC      ","SAME                                         ","JOHN GNAT                                    ","Net 30","7328","Ck #1527"
"","","P O BOX 4209                                 ","                                             ","Ph : 330.3935970                             ","","4/11/12","4/16/12"
"","","848 WOODLAND STREET NE                       ","                                             ","                                             ","","","370.00"
"","","WARREN, OH 44482                             ","                                             ","                                             ","","",""
"","1528","BASELINE                                     ","SAME                                         ","                                             ","Net 30","","Ck #9050"
"","","1121 WESTRAC DR.                             ","                                             ","                                             ","","","1/10/12"
"","","SUITE 208                                    ","                                             ","                                             ","","","5,574.43"
"","","FARGO, ND 58103                              ","                                             ","                                             ","","",""
"","1529","CITY OF GLIDDEN                              ","SAME                                         ","                                             ","Net 30","","Ck #9063"
"","","108 IDAHO ST.                                ","                                             ","                                             ","","","1/12/12"
"","","GLIDDEN, IA 51443                            ","                                             ","                                             ","","","10.00"
"","1532","FACE CRAFTERS                                ","FACE CRAFTERS                                ","SHANNON                                      ","Net 30","14015","Ck #1532"
"","","6204 HIGHWAY 161                             ","PO BOX 15726                                 ","robin@facecrafters.net                       ","","9/6/16","9/6/16"
